,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
763,Ma vie de Courgette,(2016),66 min,7.7,85        ,"25,486",$0.29M,"After losing his mother, a young boy is sent to an orphanage with other orphans his age where he begins to learn the meaning of trust and true love."
764,La vie d'Adèle,(2013),180 min,7.7,89        ,"151,805",$2.20M,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
765,The Broken Circle Breakdown,(2012),111 min,7.7,70        ,"41,239",$0.18M,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
766,Kaze tachinu,(2013),126 min,7.7,83        ,"85,393",$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
767,Toy Story 4,(2019),100 min,7.7,84        ,"246,611",$434.04M,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
768,Nebraska,(2013),115 min,7.7,87        ,"118,314",$17.65M,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
769,Wreck-It Ralph,(2012),101 min,7.7,72        ,"419,142",$189.42M,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
770,Le Petit Prince,(2015),108 min,7.7,70        ,"62,098",$1.34M,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
771,Detachment,(2011),98 min,7.7,52        ,"85,719",$0.07M,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
772,Midnight in Paris,(2011),94 min,7.7,81        ,"421,608",$56.82M,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
773,Kokuhaku,(2010),106 min,7.7,****,"39,224",%^%^%^,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
774,Ajeossi,(2010),119 min,7.7,****,"69,569",$0.01M,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
775,The Lego Movie,(2014),100 min,7.7,83        ,"352,708",$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
776,Gravity,(2013),91 min,7.7,96        ,"819,944",$274.09M,Two astronauts work together to survive after an accident leaves them stranded in space.
777,Star Trek Into Darkness,(2013),132 min,7.7,72        ,"482,481",$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
778,Beasts of No Nation,(2015),137 min,7.7,79        ,"81,297",$0.08M,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
779,X: First Class,(2011),131 min,7.7,65        ,"688,448",$146.41M,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
780,The Hangover,(2009),100 min,7.7,73        ,"777,862",$277.32M,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
781,The Trial of the Chicago 7,(2020),129 min,7.7,76        ,"175,054",%^%^%^,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
782,Silver Linings Playbook,(2012),122 min,7.7,81        ,"705,022",$132.09M,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
783,Druk,(2020),117 min,7.7,79        ,"152,111",%^%^%^,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
784,Argo,(2012),120 min,7.7,86        ,"611,545",$136.03M,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
785,(500) Days of Summer,(2009),95 min,7.7,76        ,"511,220",$32.39M,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
786,Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,65        ,"541,098",$295.98M,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
787,The Boy in the Striped Pajamas,(2008),94 min,7.7,55        ,"217,447",$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
788,Auf der anderen Seite,(2007),122 min,7.7,85        ,"32,212",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
789,Frost/Nixon,(2008),122 min,7.7,80        ,"108,206",$18.59M,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
790,Papurika,(2006),90 min,7.7,81        ,"82,872",$0.88M,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
791,Flipped,(I) (2010),90 min,7.7,45        ,"89,878",$1.75M,Two eighth-graders start to have feelings for each other despite being total opposites.
792,Toki o kakeru shôjo,(2006),98 min,7.7,****,"66,187",%^%^%^,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
793,This Is England,(2006),101 min,7.7,86        ,"122,241",$0.33M,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
794,Ex Machina,(2014),108 min,7.7,78        ,"538,783",$25.44M,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
795,Efter brylluppet,(2006),120 min,7.7,78        ,"34,797",$0.41M,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret."
796,Zodiac,(2007),157 min,7.7,78        ,"534,651",$33.08M,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
797,Lucky Number Slevin,(2006),110 min,7.7,53        ,"312,692",$22.49M,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
798,Joyeux Noël,(2005),116 min,7.7,70        ,"29,852",$1.05M,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life."
799,Adams æbler,(2005),94 min,7.7,51        ,"50,806",$0.00M,A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.
800,Tangled,(2010),100 min,7.7,71        ,"448,353",$200.82M,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
801,Zwartboek,(2006),145 min,7.7,71        ,"76,987",$4.40M,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
802,Brokeback Mountain,(2005),134 min,7.7,87        ,"355,061",$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
803,3:10 to Yuma,(2007),122 min,7.7,76        ,"310,398",$53.61M,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
804,Kung fu,(2004),99 min,7.7,78        ,"139,238",$17.11M,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
805,The Bourne Supremacy,(2004),108 min,7.7,73        ,"461,798",$176.24M,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
806,The Machinist,(2004),101 min,7.7,61        ,"387,410",$1.08M,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
807,Ray,(I) (2004),152 min,7.7,73        ,"147,728",$75.33M,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
808,Ondskan,(2003),113 min,7.7,61        ,"38,719",$0.02M,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
809,Lost in Translation,(2003),102 min,7.7,89        ,"450,909",$44.59M,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
810,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        ,"617,854",$290.01M,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
811,Man on Fire,(2004),146 min,7.7,47        ,"361,248",$77.91M,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
812,Coraline,(2009),100 min,7.7,80        ,"224,888",$75.29M,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
813,The Magdalene Sisters,(2002),114 min,7.7,83        ,"27,321",$4.89M,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
814,21 Grams,(2003),124 min,7.7,70        ,"236,341",$16.29M,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
815,Finding Neverland,(2004),106 min,7.7,67        ,"206,468",$51.68M,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
816,Good Bye Lenin!,(2003),121 min,7.7,68        ,"146,033",$4.06M,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
817,In America,(2002),105 min,7.7,76        ,"43,167",$15.54M,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
818,Les triplettes de Belleville,(2003),80 min,7.7,91        ,"54,526",$7.00M,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
819,Adaptation.,(2002),115 min,7.7,83        ,"192,320",$22.25M,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
820,Black Hawk Down,(2001),144 min,7.7,74        ,"394,205",$108.64M,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis."
821,Road to Perdition,(2002),117 min,7.7,72        ,"267,137",$104.45M,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
822,Das Experiment,(2001),120 min,7.7,60        ,"93,874",$0.14M,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
823,Billy Elliot,(2000),110 min,7.7,74        ,"134,891",$22.00M,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
824,Hedwig and the Angry Inch,(2001),95 min,7.7,85        ,"35,803",$3.03M,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
825,The Count of Monte Cristo,(2002),131 min,7.7,61        ,"138,055",$54.23M,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
826,Y tu mamá también,(2001),106 min,7.7,88        ,"122,858",$13.62M,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
827,Waking Life,(2001),99 min,7.7,83        ,"64,217",$2.89M,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
828,Ocean's Eleven,(2001),116 min,7.7,74        ,"568,067",$183.42M,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
829,"O Brother, Where Art Thou?",(2000),107 min,7.7,69        ,"310,284",$45.51M,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
830,Minority Report,(2002),145 min,7.7,80        ,"547,679",$132.07M,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
831,"South Park: Bigger, Longer & Uncut",(1999),81 min,7.7,73        ,"204,305",$52.04M,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
832,Office Space,(1999),89 min,7.7,68        ,"265,759",$10.82M,Three company workers who hate their jobs decide to rebel against their greedy boss.
833,Happiness,(1998),134 min,7.7,81        ,"70,370",$2.81M,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
834,The Boondock Saints,(1999),108 min,7.7,44        ,"239,132",$0.03M,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
835,Training Day,(2001),122 min,7.7,69        ,"432,305",$76.63M,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
836,Lola rennt,(1998),81 min,7.7,77        ,"198,702",$7.27M,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
837,Abre los ojos,(1997),119 min,7.7,****,"69,330",$0.37M,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
838,Ta'm e guilass,(1997),95 min,7.7,80        ,"31,017",$0.31M,An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.
839,As Good as It Gets,(1997),139 min,7.7,67        ,"297,584",$148.48M,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
840,Hana-bi,(1997),103 min,7.7,****,"30,738",$0.23M,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
841,The Game,(1997),129 min,7.7,61        ,"392,156",$48.32M,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
842,Donnie Brasco,(1997),127 min,7.7,76        ,"306,736",$41.91M,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
843,Chun gwong cha sit,(1997),96 min,7.7,70        ,"29,389",$0.19M,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.
844,Shine,(1996),105 min,7.7,87        ,"54,335",$35.81M,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
845,Primal Fear,(1996),129 min,7.7,47        ,"213,914",$56.12M,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
846,Sense and Sensibility,(1995),136 min,7.7,84        ,"115,879",$43.18M,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
847,Apollo 13,(I) (1995),140 min,7.7,77        ,"293,678",$173.84M,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
848,Il postino,(1994),108 min,7.7,81        ,"36,594",$21.85M,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
849,Clerks,(1994),92 min,7.7,70        ,"221,859",$3.15M,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
850,What's Eating Gilbert Grape,(1993),118 min,7.7,73        ,"236,593",$9.17M,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
851,Short Cuts,(1993),188 min,7.7,79        ,"45,021",$6.11M,The day-to-day lives of several suburban Los Angeles residents.
852,Philadelphia,(1993),125 min,7.7,66        ,"240,936",$77.32M,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
853,Naked,(1993),131 min,7.7,85        ,"39,504",$1.77M,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
854,The Muppet Christmas Carol,(1992),85 min,7.7,64        ,"58,123",$27.28M,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
855,Malcolm X,(1992),202 min,7.7,73        ,"94,566",$48.17M,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
856,The Last of the Mohicans,(1992),112 min,7.7,76        ,"169,126",$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
857,Lat sau san taam,(1992),128 min,7.7,****,"50,645",%^%^%^,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
858,Kurenai no buta,(1992),94 min,7.7,83        ,"89,264",%^%^%^,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
859,Glengarry Glen Ross,(1992),100 min,7.7,82        ,"105,156",$10.73M,An examination of the machinations behind the scenes at a real estate office.
860,A Few Good Men,(1992),138 min,7.7,62        ,"262,793",$141.34M,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
861,Night on Earth,(1991),129 min,7.7,68        ,"60,682",$2.02M,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
862,Fried Green Tomatoes,(1991),130 min,7.7,64        ,"74,819",$82.42M,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.
863,La double vie de Véronique,(1991),98 min,7.7,86        ,"48,683",$2.00M,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
864,Yume,(1990),119 min,7.7,****,"26,553",$1.96M,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.
865,Miller's Crossing,(1990),115 min,7.7,66        ,"135,282",$5.08M,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
866,Home Alone,(1990),103 min,7.7,63        ,"560,305",$285.76M,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
867,When Harry Met Sally...,(1989),95 min,7.7,76        ,"218,535",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
868,Who Framed Roger Rabbit,(1988),104 min,7.7,83        ,"200,400",$156.45M,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
869,Spoorloos,(1988),107 min,7.7,****,"39,059",%^%^%^,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
870,The Last Emperor,(1987),163 min,7.7,76        ,"103,118",$43.98M,The story of the final Emperor of China.
871,Evil Dead II,(1987),84 min,7.7,72        ,"163,540",$5.92M,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
872,Empire of the Sun,(1987),153 min,7.7,62        ,"125,505",$22.24M,A young English boy struggles to survive under Japanese occupation of China during World War II.
873,Der Name der Rose,(1986),130 min,7.7,54        ,"108,657",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
874,Down by Law,(1986),107 min,7.7,75        ,"51,708",$1.44M,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
875,Blue Velvet,(1986),120 min,7.7,76        ,"198,242",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
876,The Purple Rose of Cairo,(1985),82 min,7.7,75        ,"51,711",$10.63M,"In 1935 New Jersey, a movie character walks off the screen and into the real world."
877,The Goonies,(1985),114 min,7.7,62        ,"271,232",$61.50M,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
878,The Color Purple,(1985),154 min,7.7,78        ,"86,626",$98.47M,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
879,Zelig,(1983),79 min,7.7,****,"42,159",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
880,The Verdict,(1982),129 min,7.7,77        ,"40,528",$54.00M,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
881,Star Trek II: The Wrath of Khan,(1982),113 min,7.7,68        ,"121,443",$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
882,First Blood,(1982),93 min,7.7,61        ,"250,758",$47.21M,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
883,Ordinary People,(1980),124 min,7.7,86        ,"52,233",$54.80M,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
884,Airplane!,(1980),88 min,7.7,78        ,"237,619",$83.40M,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
885,Halloween,(1978),91 min,7.7,87        ,"270,811",$47.00M,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
886,Nashville,(1975),160 min,7.7,96        ,"26,419",$14.82M,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention."
887,Love and Death,(1975),85 min,7.7,89        ,"38,646",%^%^%^,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
888,Blazing Saddles,(1974),93 min,7.7,73        ,"138,976",$119.50M,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
889,Serpico,(1973),130 min,7.7,81        ,"122,827",$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
890,La planète sauvage,(1973),72 min,7.7,73        ,"31,359",$0.19M,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
891,Badlands,(1973),94 min,7.7,93        ,"72,952",%^%^%^,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands."
892,Deliverance,(1972),109 min,7.7,80        ,"109,096",$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
893,The French Connection,(1971),104 min,7.7,94        ,"122,544",$15.63M,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
894,Dirty Harry,(1971),102 min,7.7,87        ,"156,266",$35.90M,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath."
895,Wait Until Dark,(1967),108 min,7.7,81        ,"30,844",$17.55M,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.
896,The Dirty Dozen,(1967),150 min,7.7,73        ,"73,436",$45.30M,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
897,Bonnie and Clyde,(1967),111 min,7.7,86        ,"112,871",%^%^%^,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
898,Belle de jour,(1967),100 min,7.7,****,"44,730",$0.03M,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
899,A Man for All Seasons,(1966),120 min,7.7,72        ,"34,673",$28.35M,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
900,Zulu,(1964),138 min,7.7,77        ,"39,336",%^%^%^,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.
901,Goldfinger,(1964),110 min,7.7,87        ,"189,851",$51.08M,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
902,The Longest Day,(1962),178 min,7.7,75        ,"56,005",$39.10M,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
903,Cape Fear,(1962),106 min,7.7,76        ,"29,326",%^%^%^,A lawyer's family is stalked by a man he once helped put in jail.
904,Jules et Jim,(1962),105 min,7.7,97        ,"41,533",%^%^%^,Decades of a love triangle concerning two friends and an impulsive woman.
905,The Magnificent Seven,(1960),128 min,7.7,74        ,"94,915",$4.91M,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
906,À bout de souffle,(1960),90 min,7.7,****,"80,971",$0.34M,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
907,Invasion of the Body Snatchers,(1956),80 min,7.7,92        ,"49,888",%^%^%^,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
908,The Caine Mutiny,(1954),124 min,7.7,63        ,"27,777",$21.75M,"When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny."
909,The Quiet Man,(1952),129 min,7.7,85        ,"38,860",$10.55M,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
910,The African Queen,(1951),105 min,7.7,91        ,"78,802",$0.54M,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
911,Key Largo,(1948),100 min,7.7,****,"41,016",%^%^%^,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
912,Fantasia,(1940),125 min,7.7,96        ,"96,253",$76.41M,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
913,Scarface,(1932),93 min,7.7,87        ,"28,050",%^%^%^,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
914,Dark Waters,(2019),126 min,7.6,73        ,"87,514",%^%^%^,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
915,The Mitchells vs the Machines,(2021),114 min,7.6,81        ,"106,177",%^%^%^,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
916,Searching,(III) (2018),102 min,7.6,71        ,"161,526",$26.02M,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop."
917,Once Upon a Time... in Hollywood,(2019),161 min,7.6,83        ,"716,304",$142.50M,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
918,Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        ,"668,902",$389.81M,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
919,Bridge of Spies,(2015),142 min,7.6,81        ,"309,838",$72.31M,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
920,Incredibles 2,(2018),118 min,7.6,80        ,"292,994",$608.58M,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
921,Moana,(I) (2016),107 min,7.6,81        ,"330,344",$248.76M,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
